,ANR,Anammox,Denitrification,DNR,Nitrifictaion,Nitrogen_Fixation,BAB,Total_Pathway
QDDryWWTP2,-1.346619922,-1.147822909,-4.052762217,-4.396772586,-2.622844159,-2.048796249,-12.09948508,-27.71510312
QDDryWWTP3,-1.443807181,0.345024584,-0.792754385,-0.782410838,-2.229208201,-1.559311711,-5.699498423,-12.16196615
QDDryWWTP4,-1.34483715,0.32344991,-2.042943594,-1.816597533,-2.396988597,-1.685903276,-7.222729655,-16.1865499
QDDryWWTP5,-1.443807181,-0.496287289,0.170197801,-0.318920175,2.08234432,-1.677076976,-8.934999166,-10.61854867
QDWetMB1,2.19640229,0.193931456,-3.083772669,-2.576686988,-0.625202066,-0.433518723,5.404737544,1.075890845
QDWetMB2,1.196835572,0.430694248,-4.230978403,-3.486294881,-1.250940302,0.017581742,3.548844791,-3.774257234
QDWetMB3,0.908690774,1.994257168,-2.386953134,-2.067315366,-0.211381781,1.045363202,6.934882264,6.217543127
QDWetMB4,3.384297876,0.24025286,-2.439704394,-2.511344249,0.924380036,-0.659658928,4.6583968,3.596620001
QDWetMB5,1.632329922,-0.664144489,-0.127395223,-0.289428448,0.114301237,-0.208824091,6.571287389,7.028126297
QDWetMC1,-1.319332591,0.081829286,-2.396929133,4.118244942,-1.53850967,-1.383083544,-4.641903804,-7.079684514
QDWetMC2,-1.296798452,0.202490724,-7.13945979,-8.418248696,1.482976989,-0.890857822,-5.139661506,-21.19955855
QDWetMC3,-1.314827165,-1.037449585,-6.276826531,-7.939311415,-1.601551896,-0.633958587,-1.801921719,-20.6058469
QDWetMC4,-1.371001943,-0.427048236,-4.232201318,-4.901105656,-2.529235556,-0.945250993,0.403303367,-14.00254033
QDWetMC5,-1.337169261,0.592306518,-5.586807511,-7.818746406,1.067584122,-0.693357306,1.54938821,-12.22680163
QDWetME1,0.125826911,2.70458875,-4.434834897,-6.726762392,-1.855304132,1.160509299,-3.303503498,-12.32947996
QDWetME2,-0.480953319,0.172670896,-7.725587916,-8.387159317,0.954779235,0.174460001,-14.52153692,-29.81332734
QDWetME3,-0.652442745,0.018447814,-8.74213997,-9.663047832,-2.088833085,0.873225116,-11.08976924,-31.34455994
QDWetME5,-1.310370237,0.307934656,9.081818923,19.39795935,-3.048150813,-1.222567768,1.032024758,24.23864886
QDWetMP1,0.889263809,-1.326045668,-4.761468371,-3.516800636,1.073849235,-0.549216036,-2.29382617,-10.48424384
QDWetMP2,0.061245143,3.190216863,-2.19737509,0.433885273,3.578125589,1.142280281,3.536215846,9.744593905
QDWetMP3,0.939868597,3.248767392,-1.661776526,-1.599323473,-2.168056599,0.241766704,4.1835867,3.184832794
QDWetMP4,0.512349567,-0.235028431,-4.477197641,-3.068002776,-1.901440846,0.080410841,-4.028844775,-13.11775406
QDWetMP5,0.214417712,-1.180375519,-5.733393917,-5.469985253,0.16213677,-0.699655794,-5.168592157,-17.87544816
QDWetMR1,0.552756967,-2.263212911,-4.540477691,-5.624099462,-2.789629033,-0.679314497,1.409551582,-13.93442505
QDWetMR2,2.465058949,-0.442498841,-4.16583958,-5.454791862,-2.325223324,0.348967764,4.911502908,-4.662823985
QDWetMR3,0.718467317,-0.914647917,-4.045312649,-5.187192786,-2.455262045,0.238752802,3.264686678,-8.380508599
QDWetMR4,-0.028592553,-5.089752283,-8.251034952,-9.117605483,-3.032592725,-1.12608175,-9.02032589,-35.66598564
QDWetMR5,-0.759590002,-6.047510933,-9.419001234,-10.05660853,-2.897329033,-1.378858535,-12.52739204,-43.08629031
QDWetWWTP2,0.321371902,2.384619965,-1.277993581,-0.362711197,-2.20200913,1.530528277,3.556217985,3.950024222
QDWetWWTP3,0.105033701,1.79853264,-1.379564074,-0.419142048,-1.735285151,0.908878905,-0.241391518,-0.962937545
QDWetWWTP5,0.197918238,3.847514578,1.95303568,4.60151433,1.521238926,0.844614272,5.341985106,18.30782113
